threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,risk_perc,net90,pf90,wr90,mdd90,score90,trades90,net180,pf180,wr180,mdd180,score180,trades180,status
0.53,8.0,5.0,1.2,1.7,5.0,1.0,0.5,0.005,178.70608771395678,2.15619217208251,37.5,111.56116832904627,1.5876353307878903,32,585.9474379758875,1.6610243397679347,35.625,204.17753796779834,2.8558069454359534,160,OK
0.53,8.0,5.0,1.2,1.7,5.0,1.1,0.4,0.004,115.62767863822783,1.879462743005933,36.666666666666664,104.00494141221498,1.1011641650683035,30,318.27028285431595,1.4084261342400686,32.903225806451616,203.43129809685342,1.5568569285488225,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.7,5.0,1.1,0.4,0.005,144.49080780798243,1.8791139623978763,36.666666666666664,130.0472557892408,1.1025855286917452,30,398.1167678233957,1.4068167168423886,32.903225806451616,256.0709185718588,1.548665131143998,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.7,5.0,1.1,0.5,0.004,116.93841418294826,1.889354820989989,36.666666666666664,102.9097053437581,1.125384907945683,30,319.6668640946898,1.4101740209741112,32.903225806451616,201.71505009483917,1.5769271395741724,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.7,5.0,1.1,0.5,0.005,146.13304296716117,1.8890091460949252,36.666666666666664,128.68213692732388,1.1268556057883028,30,399.8938215500434,1.4085771394245385,32.903225806451616,253.9177875317837,1.568716822085959,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.7,5.0,1.2,0.4,0.004,156.73976294276062,2.424735827422224,40.74074074074074,90.55329879923738,1.7120056294909411,27,260.27406728476177,1.317058125408388,30.555555555555557,252.6775942579152,1.0260033726910067,144,DEGRADE_180
0.53,8.0,5.0,1.2,1.7,5.0,1.2,0.4,0.005,196.04362187818006,2.424390010168916,40.74074074074074,113.25156704898473,1.7158943806357374,27,325.02580237864095,1.315426591414385,30.555555555555557,317.76888219393186,1.0196283907690291,144,DEGRADE_180
0.53,8.0,5.0,1.2,1.7,5.0,1.2,0.5,0.004,160.926941654602,2.4622536851473016,40.74074074074074,87.2410917359939,1.823718842192874,27,261.52338663107764,1.3185466233928738,30.555555555555557,249.74309283735784,1.0429933828754052,144,DEGRADE_180
0.53,8.0,5.0,1.2,1.7,5.0,1.2,0.5,0.005,201.2944292996575,2.4618630194580025,40.74074074074074,109.1215443852052,1.8279295883785422,27,326.61845802931896,1.3169304331674463,30.555555555555557,314.0619932248992,1.0366799710943568,144,DEGRADE_180
0.53,8.0,5.0,1.2,1.7,6.0,1.0,0.4,0.004,142.94720187948056,2.1565489976693857,37.5,89.21286513392624,1.5845545052500785,32,471.48613237813476,1.6691618496873735,35.625,162.69784232446727,2.8802220339813456,160,OK
0.53,8.0,5.0,1.2,1.7,6.0,1.0,0.4,0.005,178.743232574542,2.156516701003035,37.5,111.55043589763409,1.5881167509392058,32,591.5117790268073,1.667143382587491,35.625,204.19204118922062,2.88272281711617,160,OK
0.53,8.0,5.0,1.2,1.7,6.0,1.0,0.5,0.004,142.91650333133975,2.1562331797950884,37.5,89.21974047355252,1.5840934875359682,32,467.0623682831417,1.6630096688903446,35.625,162.68854728949373,2.8533600915714152,160,OK
0.53,8.0,5.0,1.2,1.7,6.0,1.0,0.5,0.005,178.70608771395678,2.15619217208251,37.5,111.56116832904627,1.5876353307878903,32,585.9474379758875,1.6610243397679347,35.625,204.17753796779834,2.8558069454359534,160,OK
